SourceCode	Source	Field3	Field4
KEWESP	Kewes, Pauline, 'Shakespeare's Lives in Print, 1662-1821', in <EM>Lives in Print: Biography and the Book Trade from the Middle Ages to the 21st Century</EM>, eds. Myers, Robin, Harris, Michael & Mandelbrote, Giles (London, 2002), pp55-82	NULL	NULL
KEWESP1	Kewes, Pauline, ''Give me the Sociable Pocket-Books...': Humphrey Moseley's Serial Publication of Octavo Play Collections', in <EM>Publishing History 28</EM> (1995), pp6-21	NULL	NULL
KINNELL	Kinnell, Margaret, 'Childhood and Children's Literature: The Case of M.J. Godwin & co., 1805-25', in <EM>Publishing History 24</EM> (1988), pp77-99.	NULL	NULL
KNOTT	Knott, D.H., <EM>The Book Trade in Kent</EM>, Working Papeers: i. 'Canterbury Dirctory ca 1776 to 1832' (1932); ii. 'Isle of Thanet Directory ca 1776 to 1838' (1989); and other Kent records not yet published in Working Papers	p	David Knott
KORSTEN	Korsten, Frank, <EM></EM> 'Thomas Baker and his Books' in <EM>Transactions of the Cambridge Bibliographical Society</EM> Vol VIII Part 5 (1985), pp491-513	NULL	NULL
KRESS	KRESS	NULL	NULL
KRUMMEL	D.W. Krummel & Stanley Sadie (eds.), <EM>Music Printing and Publishing</EM>, The Norton/Grove Handbooks in Music (New York: W.W. Norton & Co., 1990)	NULL	NULL
KTG	Goulden, R.J., <EM>Kent Town Guides 1763-1900 </EM>(London, 1995)	p	NULL
LAMBERT1640	Lambert, Sheila 'State Control of the Press in Theory and Practice: The Role of the Stationers' Company Before 1640' pp1-32</EM> in<EM> Censorship and the Control of Print in England and France 1600-1900</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1992).	NULL	NULL
LAMBERT2	Lambert, Sheila, 'The Printers and the Government, 1604-1637', in <EM>Aspects of Printing from 1600</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1987), pp1-29	NULL	NULL
LANE	<a name="l">Entry for John CALDICOTT, Birmingham???	u	NULL
LAVIN	Lavin, J. A., 'John Danter's Ornamental Stock', in <EM>Studies in Bibliography 23 </EM> (1970), pp21-44	NULL	NULL
LBR	Leicester Borough Records	NULL	NULL
LCAS	<EM>Printing and the Book in Manchester 1700-1850</EM>, Lancashire and Cheshire Anitquarian Society (2001)	NULL	NULL
LEADER	LEADER	NULL	NULL
LEARY	Lary, Patrick, ''Our Chief Speculative Monument of this Age': The Publishing of Mill's 'Logic'', in <EM>Publishing History 44</EM> (1998), pp39-57	NULL	NULL
LEEDHAM-GREEN	Leedham-Green, E.S. 'Booksellers and Libraries in Sixteenth Century Cambridge', in <EM>Libraries and the Book Trade: The Formation of Collections,</EM> eds. Myers, Robin & Harris, Michael (New Castle, 2000), pp1-14	NULL	NULL
LEEDHAM-GREEN2	Leedham-Green, Elisabeth, 'Manasses Vautrollier in Cambridge', in <EM>The Book Trade and its Customers 1450-1900: Historical Essays for Robin Myers</EM> eds. Hunt, Arnold; Giles Mandelbrote & Alison Shell (Winchester, 1997)	NULL	NULL
LEEDS	<EM>A History of Leeds. Compiled from various authors </EM>(Leeds, 1798); <EM>A Directory forâ€¦Leeds </EM>(Leeds: Binns & Brown, 1800); <EM>A New & Complete Directory forâ€¦Leeds </EM>(Leeds: George Wilson, 1807); <EM>The Leeds Directory for 1809 </EM>(Leeds: M. Robinson, 1809); <EM>Directory, General & Commercial ofâ€¦Leeds for 1817 & 1834 </EM>(Leeds: Edward Baines, 1817 & 1834)	d	NULL
LEEDS 1798	<EM>Leeds Directory 1798</EM><BR>editor/publisher unspecified	NULL	NULL
LEEDS 1842	White, William, <EM>Directory & Topography of Leeds and the whole of the Clothing District of the West Riding of Yorkshire</EM>, R. Leader, Sheffield (1842). 	NULL	NULL
LEEDS 1847	White, William, <EM>Directory & Topography of Leeds, Bradford, Halifax, Huddersfield, Wakefield and the whole of the Clothing District of the West Riding of Yorkshire</EM>, R. Leader, Sheffield  (1847).	NULL	NULL
LEFANU	LeFanu, William, <EM>A Catalogue of Books Belonging to Dr Jonathan Swift</EM>, (Cambridge Bibliographical Society Monograph no.10, Cambridge, 1988)	NULL	NULL
Léger-St-Jean	Léger-St-Jean, Marie. Price One Penny: A Database of Cheap Literature, 1837-1860. [19 March 2017]. Faculty of English, Cambridge [05 July 2017] (http://priceonepenny.info).	NULL	NULL
LEI-CRO	Leicestershire County Record Office	r	John Hinks
LeiFree	Hartopp, Henry, <EM>Registers of Freemen and Apprentices of Leicester</EM>	p	John Hinks
LEWIS	Lewis, C.T. Courtney, <EM>The Story of Picture Printing in England during the Nineteenth Century </EM>(London, n.d.)	p	NULL
LG	LG	NULL	NULL
LGA	LGA	NULL	NULL
LIB	<EM>Library: Transactions of the Bibliographical Society, quarterly periodical, published by OUP.	NULL	NULL
LIN-CRO	Lincolnshire Record Office	r	NULL
LINDENBAUM	Lindenbaum, Peter, 'Rematerialising Milton', <EM>Publishing History 41</EM> (1997), pp5-22	NULL	NULL
LLCat.65	LLCat.65	NULL	NULL
LLOYD	Lloyd, Llewellyn C., 'The book trade in Shropshire', <EM>Transactions of the Shropshire Archaeological & Natural History Society</EM>, 48 (1935-6), pp. 65-141, 145-200	p	NULL
LLOYD1	Lloyd, James W., <EM>Herefordshire Tokens of the 17th Century with Notes on the Issuers thereof </EM>(1883)	p	John Buchanan-Brown
LM	LM	NULL	NULL
LOCKYER	Lockyer, Lionel, <EM>An Advertisement Concerning those Most Excellent Pills Called </EM>Pilulae Radiis Solis Extractae. <EM>Being an Universal Medicine </EM>(London, Year Unspecified [1665, 1667 or 1676])	NULL	NULL
LOCKYER5	Lockyer, Lionel, <EM>An Advertisement Concerning those Most Excellent Pills Called </EM>Pilulae Radiis Solis Extractae. <EM>Being an Universal Medicine </EM>(London, 1665)	p	NULL
LOCKYER6	Lockyer, Lionel, <EM>An Advertisement Concerning those Most Excellent Pills Called </EM>Pilulae Radiis Solis Extractae. <EM>Being an Universal Medicine </EM>(London, 1676)	p	NULL
LOCKYER7	Lockyer, Lionel, <EM>An Advertisement Concerning those Most Excellent Pills Called </EM>Pilulae Radiis Solis Extractae. <EM>Being an Universal Medicine </EM>(London, 1667)	p	NULL
LONSTAT	Christianson, C. Paul, <EM>A Directory of London Stationers and Book Artisans 1300-1500 </EM>(New York, 1990)	p	NULL
LP	Sheffield Local Studies Local Pamphlets (with vol. & no.)	p	Tanya Schmoller
LW	Worms, Laurence, <EM>British Map Engravers </EM>(work in progress)	p	Laurence Worms
MACKENZIEDF	MacKenzie, D. F. 'Stationers' Company <EM>Liber A</EM>: An Apologia<EM>, in </EM>The Stationers' Company and the Book Trade 1550-1990<EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1997)</EM>, pp35-63	NULL	NULL
MACLEAN	<a name="m">MACLEAN	NULL	NULL
MADDEN	Madden Collection of broadsides in Cambridge University Library, index by R.S. Thomson	m	NULL
MAIDWELL	Maidwell, C.F., <EM>Some Notes on Papermaking in Northumberand </EM>(History of the Book Trade in the North, Working Paper PH 52/ December 1988)	p	NULL
MAIDWELLDUR	Maidwell, C.F., <EM>Some Notes on Papermaking in County Durham</EM> (History of the Book Trade in the North, Working Paper PH 47/ July 1987)	p	NULL
MAIDWELLGEN	Maidwell, C.F., <EM>Notes on Papermaking in Britain</EM>, typescript notes in 2 vols. (copies in the libraries of Universities of Durham and Newcastle upon Tyne)	p	NULL
MAN	Man, F.H., 'Lithography in England (1801-1810)', in C. Zigrosser (ed.), Prints (London, 1963)	p	NULL
MANDELBROTE	Mandelbrote, Giles 'From the Warehouse to the Country-House: Booksellers and Bookshops in late Seventeenth Century London' in <EM>A Genius for Letters: Booksellers and Bookselling from the 16th to the 20th Century</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1995), pp49-84	NULL	NULL
MANDELBROTE2	Mandelbrote, Giles. 'The Organization of Book Auctions in Late Seventeenth Century London', in <EM>Under the Hammer: Book Auctions since the Seventeenth Century London</EM>, eds. Myers, Robin & Harris, Michael (London, 2001), pp15-50	NULL	NULL
MANDELBROTE3	Mandelbrote, Giles, 'Workplaces and Living Spaces: London Book Trade Inventories of the Seventeenth Century', in <EM>The London Book Trade</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2003), pp21-43	NULL	NULL
MANDELBROTE4	Mandelbrote, Giles, ''Richard Bentley's Copies: The Ownership of Copyrights in the late 17th Century', in <EM>The Book Trade & its Customers 1450-1900: Historical Essays for Robin Myers</EM>, eds. Hunt, Arnold, Giles Mandelbrote & Alison Shell (Winchester, 1997)	NULL	NULL
MANDLG	Mandl, George, 'Paper Chase: A Millennium in the Production and use of Paper', in <EM>A Millennium of Book Production, Design and Illustration in Manuscript and Print 900-1900</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1994), pp181-190.	NULL	NULL
MANLEY	Manley. K.A. 'Booksellers, Peruke-Makers, and Rabbit Merchants: The Growth of Circulating Libraries in the Eighteenth Century', in <EM>Libraries and the Book Trade: The Formation of Collections from the 16th to the 20th Century</EM>, eds. Myers, Robin & Harris, Michael (New Castle, 2000), pp29-50	NULL	NULL
MANNEX	Mannex, <EM>History & Directory of Westmoreland</EM> (Beverley, 1851)	NULL	NULL
MANNIX	Mannix, <EM>History, Gazetteer & Directory of Cumberland</EM>  (Beverley, 1847)	NULL	NULL
MANTER	Manterfield, John B., 'Edward Pawlett of Grantham: a provincial bookseller 1660-1687', <EM>Lincolnshire History & Archaeology</EM>, 29 (1994), 11-16	p	NULL
MARTIN	Martin, G. ed. Knighton's Chronicle, 1995	NULL	NULL
MASLEN	Maslen, Keith. I.D., ''Press'' Letters: Samuel Aris 1730-32', in <EM>Studies in Bibliography 23</EM> (1970), pp119-126	NULL	NULL
MATHEWS	Mathews, William, Edward, Joseph or Mathew, <EM>New Directory for Bristol</EM>, with year	d	NULL
MATHEWSSWANSEA	Mathews, William, <EM>Swansea Directory</EM> (Bristol, 1816)	NULL	NULL
MAXTED	Maxted, Ian,<EM> The London Book Trades, 1775-1800: a preliminary checklist of members</EM> (Folkestone, 1977)<BR>Maxted, Ian, <EM>The London Book Trades, 1735-1775: a checklist of members in trade directories and in Musgrave's 'Obituary'</EM> (Exeter  Working Papers in British Book Trade History No.3, 1984)	p	NULL
MAXTED2	Maxted, Ian, ''4 Rotten Cornbags and Sold Old Books': The Impact of the Printed Word in Devon', in <EM>Sale and Distribution of Books from 1700</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1982). pp37-76.	NULL	NULL
MAXTED83	Maxted, Ian, <EM>The British Book Trades, 1710-1777: an index of masters and apprentices recorded in the Inland Revenue registers at the Public Record Office, Kew </EM>(Exeter, 1983)	p	NULL
MAXTED89	Maxted, Ian, <EM>Books with Devon Imprints: A Handlist to 1800</EM>, Exeter Working Papers in British Book Trade History: 6 (Exeter, 1989)	NULL	NULL
MAXTEDBANKRUPTS	Maxted, Ian, <EM>The British Book Trades: 1731-1806: A Checklist of Bankrupts</EM> (Exeter, 1985)	NULL	NULL
MAXTEDBRICE	Maxted, Ian, 'Andrew Brice, Printer of Exeter: An Agreeable Biographical Gallimaufry', in <EM>Lives in Print: Biography and the Book Trade from the Middle Ages to the 21st Century</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2002), pp83-110	NULL	NULL
MAXTEDDEVON	Maxted, Ian, 'Mobility and Innovation in the Book Trades: Some Devon Examples', in <EM>Six Centuries of the Provincial Book Trade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990), pp73-85.	NULL	NULL
MAXTEDEX	Maxted, Ian 'Single Sheets from a Country Town: The Example of Exeter' in <EM>Spreading the Word: The Distribution Network on Print 1550-1850</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1990). pp109-129.	NULL	NULL
MAXTEDN	Notes supplied by Ian Maxted	u	Ian Maxted
MCDOUGALLW	McDougall, Warren, 'Charles Elliott and the London Booksellers in the Early Years', in <EM>The Human Face of the Book Trade: Print Culture and its Creators</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1999), pp81-96	NULL	NULL
MCKAY	Information for Cumberland, Westmorland and Lancashire north of the Sands	u	Barry McKay
MCKAYCHAP	McKay, Barry 'Three Cumbrian Chapbook Printers: The Dunns of Whitehaven, Ann Bell & Anthony Soulby of Penrith' in </EM><EM>Images & Texts: Their Production and Distribution in the Eighteenth and Nineteenth Century</EM>. eds. Isaac, Peter & McKay, Barry (Winchester, 1997), pp65-87	NULL	NULL
MCKAYCUMB	McKay, Barry, 'Cumbrian Chapbook Cuts: Some Sources and Other Versions', in <EM>The Reach of Preint: Making, Selling and Using Books</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1998). pp65-84<EM>	NULL	NULL
MCKAYWARE	McKay, Barry, 'John Ware, Printer and Bookseller of Whitehaven: A Year from his Day-Books, 1799-1800', in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000), pp163-174.	NULL	NULL
MCKAYWHITE	McKay, Barry, 'Books in Eighteenth Century Whitehaven', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp51-59	NULL	NULL
MCKENZIE1	McKenzie, D.F., <EM>Stationers' Company Apprentices 1605-1640</EM> (Charlottesville, 1961)	p	NULL
MCKENZIE2	McKenzie, D.F., <EM>Stationers' Company Apprentices 1641-1700 </EM>(Oxford, 1974)	p	NULL
MCKENZIE3	McKenzie, D.F., <EM>Stationers' Company Apprentices 1701-1800 </EM>(Oxford, 1978)	p	NULL
MCLARK	Martin Clark: Information taken from the Buckinghamshire Posse Comitatus 1798	NULL	NULL
MCLEAN1	McLean, Ruari, <EM>Victorian Book Design and Colour Printing</EM>, 2nd ed. (London, 1972)	p	NULL
MELTONF	Melton, Frank, 'Robert and Sir Francis Gosling: Eighteenth Century Bankers and Stationers', in <EM>Economics of the British Booktrade 1605-1939</EM>, eds. Myers, Robin & Harris, Michael (Cambridge, 1985). pp60-77.	NULL	NULL
MHWOR	Information for Worcestershire from the following sources:<BR> &nbsp; \n            1.<EM> Bentley's History, Guide, and Alphabetical & Classified Directory, \n            of the Borough of Worcester</EM> (Birmingham, 1840) [RADMORE 102]<BR> \n            &nbsp; 2. PIGOT 42<BR> &nbsp; 3.<EM> Hunt & Co's Royal National and \n            Commercial Directoryâ€¦of Derbyshire and Worcestershire</EM> (London, \n            1847) [RADMORE 120]<BR> &nbsp; 4.<EM> 1851 Census Worcestershire: \n            transcript & surname index</EM> (Birmingham & Midland Society for \n            Genealogy and Heraldry)<BR> &nbsp; 5. Whitehead, David, <EM>Urban \n            Renewal and Suburban Growth</EM> (Worcestershire Historical Society, \n            Occasional Publication 5)<BR> &nbsp; 6. Wilson, J.B. (ed.), <EM>The \n            Parish Book of St Helen's Church in Worcester</EM> (1900)<BR> &nbsp; \n            7. <EM>Berrow's Worcester Journal</EM>, various issues<BR> &nbsp; \n            8.<EM> Slater's (late Pigot & Co) Royal National & Commercial Directoryâ€¦of \n            Derbyshireâ€¦Worcestershireâ€¦ 1850</EM> (London, 1850)<BR> &nbsp; 9.<EM> \n            Lascelles & Co's Directory & Gazetteer of the City of Worcester & \n            Neighbourhoodâ€¦</EM> (Worcester, 1851)<BR> &nbsp; 10. <EM>Post Office \n            Directory of Birmingham with Warwickshire, Worcestershire and Staffordshireâ€¦</EM> \n            (London: Kelly, 1854)<BR> &nbsp; 11. <EM>M. Billing's Directory & \n            Gazetteer of the County of Worcestershire </EM>(Birmingham, 1855)<BR> \n            &nbsp; 12. Hodson, William Henry,<EM> Hodson's Booksellers', Publishers' \n            and Stationers' Directory for London and Country</EM> (London, 1855; \n            facs. Oxford Bibliographical Society Occasional Publication 7, 1972)<BR> \n            &nbsp; 13. <EM>The Post Office Directory of Worcestershire</EM> (London: \n            Kelly, 1860)<BR> &nbsp; 14. <EM>Slater'sâ€¦Directoryâ€¦1862</EM> (London, \n            1862)<BR> &nbsp; 15. <EM>The Post Office Directory of Worcestershire</EM> \n            (London: Kelly, 1863)<BR> &nbsp; 16. <EM>The Post Office Directory \n            of Worcestershire</EM> (London: Kelly, 1868)<BR> &nbsp; 17. <EM>Littlebury's \n            Directory of the City of Worcester, July 186</EM>9 (London, 1869)<BR> \n            &nbsp; 18. Maxted, Ian, <EM>The British Book Trades, 1731-1806: a \n            checklist of bankrupts</EM> (Exeter, 1985)<BR> &nbsp; 19. <EM>The \n            Post Office Directory of Stationers, Printers, Booksellers, Publishers, \n            and paper makers of England, Scotland, Wales, and the Principal Towns \n            in Ireland</EM> (London, 1872)<BR> &nbsp; 20. <EM>The Post Offce Directory \n            of Birmingham, Staffordshire, Warwickshire, and Worcestershire</EM> \n            (London: Kelly, 1876)<BR> &nbsp; 21.<EM> Evesham Journal</EM> 10 August \n            1995	d	Martin Holmes
MIDHOSP	Transcript of records of baptisms in the Middlesex Hospital, 1747-86 (Greater London Record Office)	m	NULL
MILLER	MILLER	NULL	NULL
MILLERWE	Miller, William E, 'Printers and Stationers in the Parish of St Giles Cripplegate 1561-1640', in <EM>Studies in Bibliography 19</EM> (1966), pp15-38	NULL	NULL
MILWARD	Rosemary Milward, 'Books and booksellers in late 17th century Chesterfield', <EM>Derbyshire Miscellany</EM>, 10 (1985), 119-45	NULL	NULL
MISC	Miscellaneous sources, normally indicated by a note	u	NULL
MITCHELL	Mitchell. C.J., 'Thomas Meighan: Notes on the Father of Catholic Bookselling in England', in <EM>Publishing History X</EM>  (1981) pp51-58	NULL	NULL
MORGAN	Morgan, Paul, 'Book-sale catalogues in eighteenth-century Warwickshire' in <EM>An Index of Civilization: studies of printing and publishing history in honour of Keith Maslen </EM>(Melbourne, 1993), pp.89-97	p	NULL
MORGANP	Morgan, Paul, 'The Provincial Book Trade Before the End of the Licensing Act', in <EM>Six Centuries of the Provincial Book Trade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990), pp31-39.	NULL	NULL
Mortimer	Mortimer	NULL	NULL
MOTT	Mott, Albert J., <EM>Chronological Catalogue of Books Published in Liverpool</EM>	p	NULL
MOULE	Moule, Thomas, <EM>Bibliotheca Heraldica </EM>(London, 1822)	p	NULL
MURRAYH	Murray, Hugh, <EM>Scarborough, York and Leeds: The Town Plans of John Cossins 1697-1741</EM> (York, 1977).	NULL	NULL
MYERS/HARRIS	Myers, Robin & Harris, Michael (eds)., <EM>Economics of the British Book Trade 1605-1939</EM>. (Cambridge, 1985).	NULL	NULL
MYERS/HARRIS10	Myers, Robin & Harris, Michael (eds). <EM>Development of the English Book Trade 1700-1899</EM>. (Oxford, 1981).	NULL	NULL
MYERS/HARRIS2	Myers, Robin & Harris, Michael (eds). . <EM>Aspects of Printing from 1600</EM>, (Oxford, 1987).	NULL	NULL
MYERS/HARRIS3	Myers, Robin & Harris, Michael (eds). <EM>Fakes and Frauds: Varieties of Deception in Print and Manuscripts</EM>. (Winchester, 1989).	NULL	NULL
MYERS/HARRIS4	Myers, Robin & Harris, Michael (eds). <EM>The Stationers' Company and the Book Trade 1550-1990</EM>. (Winchester, 1997).	NULL	NULL
MYERS/HARRIS5	Myers, Robin & Harris, Michael (eds).<EM>Property of a Gentleman: The Formation, Organisation and Dispersal of the Private Library, 1620-1920</EM>, (Winchester, 1991).	NULL	NULL
MYERS/HARRIS6	Myers, Robin & Harris, Michael (eds).<EM>Libraries and the Book Trade: The Formation of Collections from the Sixteenth to the Twentieth Century</EM>, (New Castle, 2000).	NULL	NULL
MYERS/HARRIS7	Myers, Robin & Harris, Michael (eds). <EM>Antiquaries, Book Collectors and the Cricles of Learning</EM> (Winchester, 1996).	NULL	NULL
MYERS/HARRIS8	Myers, Robin & Harris, Michael (eds). <EM>Maps and Prints: Aspects of the English Booktrade</EM> (Oxford, 1984).	NULL	NULL
MYERS/HARRIS9	Myers, Robin & Harris, Michael (eds). <EM>Medicine, Mortality and the Book Trade</EM> (Winchester, 1998).	NULL	NULL
MYERSAUCTION	Myers, Robin, 'Sale by Auction: The Rise of Auctioneering Exemplified in the Firm of Christopher Cook, the Langfords, and Henry, John and George Robins (c1720-1847), in <EM>Sale and Distribution of Books from 1700</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1982), pp126-163.	NULL	NULL
MYERSDUC	Myers, Robin 'Dr Andrew Coltee Ducarel (1713-1785): Pioneer of Anglo-Norman Studies' in , </EM><EM>Antiquaries, Book Collectors and the Circles of Learning</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1996).	NULL	NULL
MYERSHAWKINS	Myers, Robin, 'George Hawkins (1705-1780): Bookseller and Treasurer of the English Stock of the Stationers' Company', in <EM>The Stationers' Company and the Book Trade 1550-1990</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1997), pp113-149.	NULL	NULL
MYERSHERBERT	Myers, Robin 'William Herbert: His Library and his Friends' in <EM> Property of a Gentleman: The Formation, Organisation and Dispersal of the Private Library 1620-1920</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1991), pp133-158	NULL	NULL
MYERSMS	MS Minutes of the Master printers 1805-1811 in the collection of Robin Myers	m	Robin Myers
MYERSNICHOLLS	Myers, Robin, 'John Nicholls (1745-1826): Chronicler of the Book Trade', in <EM>Development of the English Book Trade 1700-1899</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1981). pp1-35	NULL	NULL
MYERSR1	Myers, Robin, 'John Nichols as Chairman of the Master Printers' Committee (1800-11)', in <EM>Lives in Print: Biography and the Book Trade from the Middle Ages to the 21st Century</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2002), pp111-118	NULL	NULL
NEUBURG	<a name="n">NEUBURG	u	NULL
NEWSPLAN	<EM>Newsplan: Report of the Newsplan project in the London and South Eastern Library Region (LASER) January 1992-December 1995) </EM>(London: British Library, 1996)	p	NULL
NISSEN	Nissen, C., <EM>Die Botanische Buchillustration </EM>(Stuttgart, 1951; 2nd ed. with suppl., 1996)	p	NULL
NMM	<EM>New Monthly Magazine </EM>(with vol. & page no.)	n	NULL
NOBLETT	NOBLETT	NULL	NULL
NOBLETTW	Noblett, William, 'Publishing by the Author: A Case Study of Dru Drury's 'Illustrations of Natural History' (1770-82)', in <EM>Publishing History 23</EM> (1988), pp67-94	NULL	NULL
NOR-CRO	Norfolk County Record Office (with ref.)	r	NULL
NORRIS	Norris, Herbert E. 'The booksellers and printers of Cirencester' <EM>Cirencester: Cirencester Naturalists'and Archaeologists' Club</EM>, 1912	NULL	NULL
NORTH	North, T (ed), <EM>Accounts of Churchwardens of S. Martin's</EM>, Leicester. 1884	NULL	NULL
NORTON	Norton, Jane E., <EM>Guide to the National and Provincial Directories of England and Wales, excluding London, published before 1856 </EM>(London, 1950) with reference no.	p	NULL
NUTTALL	Nuttall, Derek, <EM>A History of Printing in Chester from 1688 to 1965 </EM>(Chester, 1969)	p	NULL
NUTTALLD	Nuttall, Derek, 'English Printers and Their Typefaces, 1600-1700', in <EM>Aspects of Printing</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1987), pp30-48	NULL	NULL
NYE	Eric. W. Nye, 'Effingham Wilson: The Radical Publisher of the Royal exchange', in <EM>Publishing History 36</EM> (1994), pp87-102	NULL	NULL
O&B	<a name="o">The travellers' log book of Oliver & Boyd (NLS Acc5000/78) with name of traveller and with ref. to <EM>Reach of Print</EM>	m	NULL
OCONNELLS	O'Connell, Sheila, 'The Print Trade in Hogarth's London', in <EM>The London Book Trade</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2003), pp71-88	NULL	NULL
OGILBY	Army Museums Ogilby Trust, <EM>Index to British Military Costume Prints </EM>(London, 1972)	p	NULL
OLDFIELD	Oldfield, John, Printers, <EM>Booksellers and Libraries in Hampshire, 1750-1800 </EM>(Winchester: Hampshire County Record Office, 1993)	p	NULL
PALMER	<a name="p">Palmer, Roy, 'Herefordshire street ballads', <EM>Trans. Woolhope Naturalists' Field Club</EM>, 47 (1991), pp.67-82	p	NULL
PARSONS	Parsons, Willaim, <EM>General & Commercial Directory of Leeds </EM>(Leeds: Baines, 1826)	d	Stephen Potter
PC1	PC1	NULL	NULL
PEARCE	Pearce, John (ed.), <EM>The Life and Teachings of Joseph Livesey</EM>, 2nd ed. (National Temperance Publication Dept., 1887), pp.clviii-clxviii	p	NULL
PEARSON	Pearson, David, <EM>Durham Bookbnders and Booksellers 1660-1760 </EM>(Oxford Bibliographical Society Occasional Publication 19, 1986)	p	NULL
PEARSON2	Pearson, David <EM>Oxford Bookbinding 1500-1640</EM> (Oxford, 2000)	NULL	NULL
PEARSOND	Pearson, David, 'Cambridge Bindings in Cosin's Library, Durham', in <EM>Six Centuries of the Provincial Book Trade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990), pp41-60.	NULL	NULL
PENDRED	Pendred, John, <EM>The Earliest Directory of the Book Trade</EM>, ed. Graham Pollard (Bibliographical Society, Supplement 14, 1955)	p	NULL
PENNELL	Pennell, J. & E.R., <EM>Lithography and Lithographers </EM>(London, 1898)	p	NULL
PERKIN	Perkin, Michael, 'Hampshire notices of printing presses 1799-1867', in Peter Isaac (ed.), <EM>Six Centuries of the Provincial Book Trade in Britain </EM>(Winchester, 1990), pp.151-64	p	NULL
PERKINM	Perkin, Michael 'Egerton Smith and the Early Nineteenth Century Book Trade in Liverpool' in <EM>Spreading the Word: The Distribution Network of Print 1550-1850</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1990). pp151-164	NULL	NULL
PERKINM2	Perkin, Michael, 'Hampshire Notices of Printing Presses, 1799-1867', in  <EM>Six Centuries of the Provincial Book Trade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990). pp151-164.	NULL	NULL
PERKINM3	Perkin, Michael, 'William Eyres and the Warrington Press', in <EM>Aspects of Printing from 1600</EM>, eds. Myers, Robin & Harris, Michael (Oxford, 1987), pp69-89.	NULL	NULL
PIcat	Information from booksellers' catalogues, details normally in notes field	u	NULL
PICKFORD	Pickford, C.J., 'Bedford stationers and booksellers', <EM>Factotum</EM>, 15 (1982), pp.21-7	p	NULL
PIGOT	Pigot, James & Slater, Isaac, <EM>Commercial Directory</EM> and<EM> \n            London & Provincial New Commercial Directory</EM>, covering various \n            parts of the country and issued:<BR> &nbsp; 1814, 1816, 1818 and 1819<BR> \n            &nbsp; 1820, 1821, 1822, 1823, 1824, 1825 and 1826<BR> &nbsp; 1827, \n            1828, 1829 and 1830<BR> &nbsp;1831, 1832, 1833, 1834, 1835, 1836, 1837, 1838, \n            1839 and 1840<BR> &nbsp; 1841, 1842, 1844, 1846 and 1847<BR> &nbsp; \n            1848, 1849, 1850, 1851, 1852, 1854 and 1855<BR>\n            For fuller transcriptions of titles see Norton, Jane E., <EM>Guide \n            to the National and Provincial Directories of England and Wales, excluding \n            London, published before 1856</EM> (London, 1950)	d	NULL
PIPER1	Piper, A. Cecil, 'The book trade in Winchester, 1549-1789', <EM>The Library</EM>, 3rd series, 7 (1916), pp.191-7	p	NULL
PIPER2	Piper, A. Cecil, 'The early printers and booksellers of Winchester', <EM>The Library</EM>, 4th series, 1 (1920), pp.103-10	p	NULL
PIPER3	Piper, A. Cecil, 'The booksellers and printers of Richmond, Surrey', <EM>The Library</EM>, 4th series, 13 (1933), pp.201-7	p	NULL
PLOMER	May refer to the appropriate volume by Aldis or Plomer	p	NULL
PLOMER1	Aldis, H.G. <EM>et al</EM>, <EM>A Dictionary of Printers and Booksellers in England, Scotland and Ireland, and of Foreign Printers of English Books 1557-1640</EM> (London, 1910)	p	NULL
PLOMER2	Plomer, Henry R., <EM>A Dictionary of the Booksellers and Printers who were at work in England, Scotland and Ireland from 1641 to 1667 </EM>(London, 1907)	p	NULL
PLOMER3	Plomer, Henry R. et al, <EM>A Dictionary of the Printers and Booksellers who were at work in England, Scotland and Ireland from 1668 to 1725</EM> (London, 1922)	p	NULL
